source	sample	population	superpopulation
1000g	HG00246	GBR	EUR
1000g	HG00253	GBR	EUR
1000g	HG00258	GBR	EUR
1000g	HG00260	GBR	EUR
1000g	HG00265	GBR	EUR
1000g	HG00272	FIN	EUR
1000g	HG00277	FIN	EUR
1000g	HG00284	FIN	EUR
1000g	HG00479	CHS	EAS
1000g	HG00501	CHS	EAS
1000g	HG00513	CHS	EAS
1000g	HG00525	CHS	EAS
1000g	HG00532	CHS	EAS
1000g	HG00537	CHS	EAS
1000g	HG00109	GBR	EUR
1000g	HG00544	CHS	EAS
1000g	HG00111	GBR	EUR
1000g	HG00551	PUR	AMR
1000g	HG00116	GBR	EUR
1000g	HG00556	CHS	EAS
1000g	HG00123	GBR	EUR
1000g	HG00582	CHS	EAS
1000g	HG00128	GBR	EUR
1000g	HG00099	GBR	EUR
1000g	HG00130	GBR	EUR
1000g	HG00102	GBR	EUR
1000g	HG00107	GBR	EUR
1000g	HG00142	GBR	EUR
1000g	HG00114	GBR	EUR
1000g	HG00119	GBR	EUR
1000g	HG00154	GBR	EUR
1000g	HG00121	GBR	EUR
1000g	HG00159	GBR	EUR
1000g	HG00126	GBR	EUR
1000g	HG00173	FIN	EUR
1000g	HG00133	GBR	EUR
1000g	HG00178	FIN	EUR
1000g	HG00138	GBR	EUR
1000g	HG00180	FIN	EUR
1000g	HG00140	GBR	EUR
1000g	HG00185	FIN	EUR
1000g	HG00145	GBR	EUR
1000g	HG00231	GBR	EUR
1000g	HG00304	FIN	EUR
1000g	HG00236	GBR	EUR
1000g	HG00309	FIN	EUR
1000g	HG00243	GBR	EUR
1000g	HG00311	FIN	EUR
1000g	HG00318	FIN	EUR
1000g	HG00323	FIN	EUR
1000g	HG00320	FIN	EUR
1000g	HG00328	FIN	EUR
1000g	HG00325	FIN	EUR
1000g	HG00330	FIN	EUR
1000g	HG00332	FIN	EUR
1000g	HG00335	FIN	EUR
1000g	HG00337	FIN	EUR
1000g	HG00342	FIN	EUR
1000g	HG00344	FIN	EUR
1000g	HG00349	FIN	EUR
1000g	HG00361	FIN	EUR
1000g	HG00351	FIN	EUR
1000g	HG00366	FIN	EUR
1000g	HG00356	FIN	EUR
1000g	HG00373	FIN	EUR
1000g	HG00368	FIN	EUR
1000g	HG00378	FIN	EUR
1000g	HG00375	FIN	EUR
1000g	HG00380	FIN	EUR
1000g	HG00382	FIN	EUR
1000g	HG00594	CHS	EAS
1000g	HG00407	CHS	EAS
1000g	HG00599	CHS	EAS
1000g	HG00419	CHS	EAS
1000g	HG00607	CHS	EAS
1000g	HG00421	CHS	EAS
1000g	HG00614	CHS	EAS
1000g	HG00553	PUR	AMR
1000g	HG00619	CHS	EAS
1000g	HG00558	CHS	EAS
1000g	HG00621	CHS	EAS
1000g	HG00560	CHS	EAS
1000g	HG00626	CHS	EAS
1000g	HG00565	CHS	EAS
1000g	HG00577	CHS	EAS
1000g	HG00405	CHS	EAS
1000g	HG00584	CHS	EAS
1000g	HG00429	CHS	EAS
1000g	HG00589	CHS	EAS
1000g	HG00436	CHS	EAS
1000g	HG00591	CHS	EAS
1000g	HG00443	CHS	EAS
1000g	HG00596	CHS	EAS
1000g	HG00448	CHS	EAS
1000g	HG00609	CHS	EAS
1000g	HG00450	CHS	EAS
1000g	HG00611	CHS	EAS
1000g	HG00474	CHS	EAS
1000g	HG00638	PUR	AMR
1000g	HG00250	GBR	EUR
1000g	HG00640	PUR	AMR
1000g	HG00255	GBR	EUR
1000g	HG00652	CHS	EAS
1000g	HG00262	GBR	EUR
1000g	HG00657	CHS	EAS
1000g	HG00267	FIN	EUR
1000g	HG00664	CHS	EAS
1000g	HG00274	FIN	EUR
1000g	HG00671	CHS	EAS
1000g	HG00281	FIN	EUR
1000g	HG00306	FIN	EUR
1000g	HG00683	CHS	EAS
1000g	HG00313	FIN	EUR
1000g	HG00690	CHS	EAS
1000g	HG00438	CHS	EAS
1000g	HG01326	PUR	AMR
1000g	HG00445	CHS	EAS
1000g	HG01345	CLM	AMR
1000g	HG00452	CHS	EAS
1000g	HG01352	CLM	AMR
1000g	HG00457	CHS	EAS
1000g	HG01357	CLM	AMR
1000g	HG00464	CHS	EAS
1000g	HG00476	CHS	EAS
1000g	HG01369	CLM	AMR
1000g	HG00534	CHS	EAS
1000g	HG01376	CLM	AMR
1000g	HG00096	GBR	EUR
1000g	HG01112	CLM	AMR
1000g	HG00729	CHS	EAS
1000g	HG01124	CLM	AMR
1000g	HG00731	PUR	AMR
1000g	HG01131	CLM	AMR
1000g	HG00736	PUR	AMR
1000g	HG01136	CLM	AMR
1000g	HG00743	PUR	AMR
1000g	HG01148	CLM	AMR
1000g	HG00844	CDX	EAS
1000g	HG01150	CLM	AMR
1000g	HG00851	CDX	EAS
1000g	HG01162	PUR	AMR
1000g	HG01167	PUR	AMR
1000g	HG01082	PUR	AMR
1000g	HG01066	PUR	AMR
1000g	HG01087	PUR	AMR
1000g	HG01073	PUR	AMR
1000g	HG01094	PUR	AMR
1000g	HG01080	PUR	AMR
1000g	HG01099	PUR	AMR
1000g	HG01085	PUR	AMR
1000g	HG01102	PUR	AMR
1000g	HG01092	PUR	AMR
1000g	HG01107	PUR	AMR
1000g	HG01097	PUR	AMR
1000g	HG01114	CLM	AMR
1000g	HG01100	PUR	AMR
1000g	HG01119	CLM	AMR
1000g	HG01105	PUR	AMR
1000g	HG01121	CLM	AMR
1000g	HG01174	PUR	AMR
1000g	HG01126	CLM	AMR
1000g	HG01198	PUR	AMR
1000g	HG01133	CLM	AMR
1000g	HG01206	PUR	AMR
1000g	HG01138	CLM	AMR
1000g	HG01249	PUR	AMR
1000g	HG01140	CLM	AMR
1000g	HG01251	CLM	AMR
1000g	HG01164	PUR	AMR
1000g	HG01256	CLM	AMR
1000g	HG01169	PUR	AMR
1000g	HG00703	CHS	EAS
1000g	HG01171	PUR	AMR
1000g	HG00708	CHS	EAS
1000g	HG01176	PUR	AMR
1000g	HG00734	PUR	AMR
1000g	HG01183	PUR	AMR
1000g	HG00739	PUR	AMR
1000g	HG01188	PUR	AMR
1000g	HG00741	PUR	AMR
1000g	HG01190	PUR	AMR
1000g	HG00623	CHS	EAS
1000g	HG01028	CDX	EAS
1000g	HG00628	CHS	EAS
1000g	HG01047	PUR	AMR
1000g	HG00630	CHS	EAS
1000g	HG01054	PUR	AMR
1000g	HG00635	CHS	EAS
1000g	HG01061	PUR	AMR
1000g	HG00642	PUR	AMR
1000g	HG01383	CLM	AMR
1000g	HG00654	CHS	EAS
1000g	HG01390	CLM	AMR
1000g	HG01395	PUR	AMR
1000g	HG01241	PUR	AMR
1000g	HG01403	PUR	AMR
1000g	HG01253	CLM	AMR
1000g	HG01258	CLM	AMR
1000g	HG01275	CLM	AMR
1000g	HG01260	CLM	AMR
1000g	HG01302	PUR	AMR
1000g	HG01272	CLM	AMR
1000g	HG01504	IBS	EUR
1000g	HG01277	CLM	AMR
1000g	HG01509	IBS	EUR
1000g	HG01354	CLM	AMR
1000g	HG01511	IBS	EUR
1000g	HG01359	CLM	AMR
1000g	HG01516	IBS	EUR
1000g	HG01361	CLM	AMR
1000g	HG01523	IBS	EUR
1000g	HG01366	CLM	AMR
1000g	HG01528	IBS	EUR
1000g	HG01378	CLM	AMR
1000g	HG01597	KHV	EAS
1000g	HG01385	CLM	AMR
1000g	HG01600	KHV	EAS
1000g	HG01392	PUR	AMR
1000g	HG01605	IBS	EUR
1000g	HG01049	PUR	AMR
1000g	HG01612	IBS	EUR
1000g	HG01051	PUR	AMR
1000g	HG01530	IBS	EUR
1000g	HG01056	PUR	AMR
1000g	HG01566	PEL	AMR
1000g	HG01063	PUR	AMR
1000g	HG01573	PEL	AMR
1000g	HG01068	PUR	AMR
1000g	HG01578	PEL	AMR
1000g	HG01070	PUR	AMR
1000g	HG01617	IBS	EUR
1000g	HG01075	PUR	AMR
1000g	HG01624	IBS	EUR
1000g	HG00673	CHS	EAS
1000g	HG01629	IBS	EUR
1000g	HG00685	CHS	EAS
1000g	HG01631	IBS	EUR
1000g	HG00692	CHS	EAS
1000g	HG01667	IBS	EUR
1000g	HG00700	CHS	EAS
1000g	HG01674	IBS	EUR
1000g	HG00705	CHS	EAS
1000g	HG00717	CHS	EAS
1000g	HG01284	CLM	AMR
1000g	HG01489	CLM	AMR
1000g	HG01311	PUR	AMR
1000g	HG01491	CLM	AMR
1000g	HG01323	PUR	AMR
1000g	HG01496	CLM	AMR
1000g	HG01342	CLM	AMR
1000g	HG01679	IBS	EUR
1000g	HG01347	CLM	AMR
1000g	HG01681	IBS	EUR
1000g	HG01599	KHV	EAS
1000g	HG01686	IBS	EUR
1000g	HG01602	IBS	EUR
1000g	HG01698	IBS	EUR
1000g	HG01607	IBS	EUR
1000g	HG01701	IBS	EUR
1000g	HG01614	IBS	EUR
1000g	HG01768	IBS	EUR
1000g	HG01619	IBS	EUR
1000g	HG01770	IBS	EUR
1000g	HG01621	IBS	EUR
1000g	HG01775	IBS	EUR
1000g	HG01626	IBS	EUR
1000g	HG01782	IBS	EUR
1000g	HG01486	CLM	AMR
1000g	HG01493	CLM	AMR
1000g	HG01439	CLM	AMR
1000g	HG01498	CLM	AMR
1000g	HG01441	CLM	AMR
1000g	HG01501	IBS	EUR
1000g	HG01506	IBS	EUR
1000g	HG01465	CLM	AMR
1000g	HG01513	IBS	EUR
1000g	HG01706	IBS	EUR
1000g	HG01518	IBS	EUR
1000g	HG01756	IBS	EUR
1000g	HG01520	IBS	EUR
1000g	HG01763	IBS	EUR
1000g	HG01525	IBS	EUR
1000g	HG01946	PEL	AMR
1000g	HG01532	IBS	EUR
1000g	HG01953	PEL	AMR
1000g	HG01537	IBS	EUR
1000g	HG01958	ACB	AFR
1000g	HG01960	ACB	AFR
1000g	HG01405	PUR	AMR
1000g	HG01965	PEL	AMR
1000g	HG01412	PUR	AMR
1000g	HG01972	PEL	AMR
1000g	HG01431	CLM	AMR
1000g	HG01977	PEL	AMR
1000g	HG01443	CLM	AMR
1000g	HG01984	PEL	AMR
1000g	HG01455	CLM	AMR
1000g	HG01989	ACB	AFR
1000g	HG01462	CLM	AMR
1000g	HG01922	PEL	AMR
1000g	HG01474	CLM	AMR
1000g	HG01927	PEL	AMR
1000g	HG01479	CLM	AMR
1000g	HG01934	PEL	AMR
1000g	HG01939	PEL	AMR
1000g	HG01551	CLM	AMR
1000g	HG01941	PEL	AMR
1000g	HG01556	CLM	AMR
1000g	HG01864	KHV	EAS
1000g	HG01869	KHV	EAS
1000g	HG01633	IBS	EUR
1000g	HG01871	KHV	EAS
1000g	HG01669	IBS	EUR
1000g	HG01883	ACB	AFR
1000g	HG01671	IBS	EUR
1000g	HG02019	KHV	EAS
1000g	HG00158	GBR	EUR
1000g	HG01676	IBS	EUR
1000g	HG00160	GBR	EUR
1000g	HG01683	IBS	EUR
1000g	HG02026	KHV	EAS
1000g	HG00177	FIN	EUR
1000g	HG01695	IBS	EUR
1000g	HG02040	KHV	EAS
1000g	HG00189	FIN	EUR
1000g	HG01703	IBS	EUR
1000g	HG01888	ACB	AFR
1000g	HG00235	GBR	EUR
1000g	HG01708	IBS	EUR
1000g	HG01890	ACB	AFR
1000g	HG00242	GBR	EUR
1000g	HG01710	IBS	EUR
1000g	HG01895	ACB	AFR
1000g	HG01746	IBS	EUR
1000g	HG01915	ACB	AFR
1000g	HG00254	GBR	EUR
1000g	HG01765	IBS	EUR
1000g	HG01991	PEL	AMR
1000g	HG00259	GBR	EUR
1000g	HG01772	IBS	EUR
1000g	HG02002	PEL	AMR
1000g	HG00261	GBR	EUR
1000g	HG01998	PEL	AMR
1000g	HG02014	ACB	AFR
1000g	HG00266	FIN	EUR
1000g	HG02004	PEL	AMR
1000g	HG01840	KHV	EAS
1000g	HG00273	FIN	EUR
1000g	HG02009	ACB	AFR
1000g	HG01845	KHV	EAS
1000g	HG00278	FIN	EUR
1000g	HG02011	ACB	AFR
1000g	HG01852	KHV	EAS
1000g	HG00280	FIN	EUR
1000g	HG02016	KHV	EAS
1000g	HG01857	KHV	EAS
1000g	HG00285	FIN	EUR
1000g	HG02023	KHV	EAS
1000g	HG01794	CDX	EAS
1000g	HG00103	GBR	EUR
1000g	HG01777	IBS	EUR
1000g	HG01799	CDX	EAS
1000g	HG00108	GBR	EUR
1000g	HG01784	IBS	EUR
1000g	HG01802	CDX	EAS
1000g	HG00110	GBR	EUR
1000g	HG01789	GBR	EUR
1000g	HG01807	CDX	EAS
1000g	HG00115	GBR	EUR
1000g	HG01791	GBR	EUR
1000g	HG02076	KHV	EAS
1000g	HG00122	GBR	EUR
1000g	HG01796	CDX	EAS
1000g	HG02083	KHV	EAS
1000g	HG00127	GBR	EUR
1000g	HG01974	PEL	AMR
1000g	HG02088	KHV	EAS
1000g	HG01979	PEL	AMR
1000g	HG02090	PEL	AMR
1000g	HG00139	GBR	EUR
1000g	HG01981	PEL	AMR
1000g	HG02095	ACB	AFR
1000g	HG00141	GBR	EUR
1000g	HG01986	ACB	AFR
1000g	HG02278	PEL	AMR
1000g	HG00146	GBR	EUR
1000g	HG01993	PEL	AMR
1000g	HG02280	ACB	AFR
1000g	HG01892	PEL	AMR
1000g	HG02285	PEL	AMR
1000g	HG00324	FIN	EUR
1000g	HG01897	ACB	AFR
1000g	HG02292	PEL	AMR
1000g	HG00329	FIN	EUR
1000g	HG01912	ACB	AFR
1000g	HG02300	PEL	AMR
1000g	HG00331	FIN	EUR
1000g	HG01917	PEL	AMR
1000g	HG02139	KHV	EAS
1000g	HG00336	FIN	EUR
1000g	HG01924	PEL	AMR
1000g	HG02141	KHV	EAS
1000g	HG00343	FIN	EUR
1000g	HG01866	KHV	EAS
1000g	HG02146	PEL	AMR
1000g	HG00350	FIN	EUR
1000g	HG01873	KHV	EAS
1000g	HG02153	CDX	EAS
1000g	HG00355	FIN	EUR
1000g	HG01878	KHV	EAS
1000g	HG02052	ACB	AFR
1000g	HG00362	FIN	EUR
1000g	HG01880	ACB	AFR
1000g	HG02057	KHV	EAS
1000g	HG00367	FIN	EUR
1000g	HG01885	ACB	AFR
1000g	HG02064	KHV	EAS
1000g	HG00475	CHS	EAS
1000g	HG01948	PEL	AMR
1000g	HG02069	KHV	EAS
1000g	HG00502	CHS	EAS
1000g	HG01950	PEL	AMR
1000g	HG02071	KHV	EAS
1000g	HG00514	CHS	EAS
1000g	HG01955	PEL	AMR
1000g	HG00526	CHS	EAS
1000g	HG01967	PEL	AMR
1000g	HG02259	PEL	AMR
1000g	HG00533	CHS	EAS
1000g	HG01936	PEL	AMR
1000g	HG02261	PEL	AMR
1000g	HG00538	CHS	EAS
1000g	HG01943	PEL	AMR
1000g	HG02266	PEL	AMR
1000g	HG00552	PUR	AMR
1000g	HG01842	KHV	EAS
1000g	HG02273	PEL	AMR
1000g	HG00557	CHS	EAS
1000g	HG01847	KHV	EAS
1000g	HG02108	ACB	AFR
1000g	HG00583	CHS	EAS
1000g	HG01859	KHV	EAS
1000g	HG02122	KHV	EAS
1000g	HG00379	FIN	EUR
1000g	HG01861	KHV	EAS
1000g	HG02127	KHV	EAS
1000g	HG00381	FIN	EUR
1000g	HG01804	CDX	EAS
1000g	HG02134	KHV	EAS
1000g	HG00406	CHS	EAS
1000g	HG01809	CDX	EAS
1000g	HG02312	PEL	AMR
1000g	HG00418	CHS	EAS
1000g	HG01811	CDX	EAS
1000g	HG02317	ACB	AFR
1000g	HG00420	CHS	EAS
1000g	HG01816	CDX	EAS
1000g	HG02343	ACB	AFR
1000g	HG00437	CHS	EAS
1000g	HG02282	ACB	AFR
1000g	HG02223	IBS	EUR
1000g	HG00444	CHS	EAS
1000g	HG02287	PEL	AMR
1000g	HG02230	IBS	EUR
1000g	HG00449	CHS	EAS
1000g	HG02299	PEL	AMR
1000g	HG02235	IBS	EUR
1000g	HG00451	CHS	EAS
1000g	HG02302	PEL	AMR
1000g	HG02165	CDX	EAS
1000g	HG00463	CHS	EAS
1000g	HG02307	ACB	AFR
1000g	HG02184	CDX	EAS
1000g	HG00639	PUR	AMR
1000g	HG02143	ACB	AFR
1000g	HG00641	PUR	AMR
1000g	HG02148	PEL	AMR
1000g	HG02689	PJL	SAS
1000g	HG00653	CHS	EAS
1000g	HG02150	PEL	AMR
1000g	HG02691	PJL	SAS
1000g	HG00658	CHS	EAS
1000g	HG02155	CDX	EAS
1000g	HG02696	PJL	SAS
1000g	HG00672	CHS	EAS
1000g	HG02028	KHV	EAS
1000g	HG02704	GWD	AFR
1000g	HG00684	CHS	EAS
1000g	HG02030	KHV	EAS
1000g	HG02716	GWD	AFR
1000g	HG00689	CHS	EAS
1000g	HG02035	KHV	EAS
1000g	HG02723	GWD	AFR
1000g	HG00691	CHS	EAS
1000g	HG02047	KHV	EAS
1000g	HG02728	PJL	SAS
1000g	HG00867	CDX	EAS
1000g	HG02054	ACB	AFR
1000g	HG02603	PJL	SAS
1000g	HG00879	CDX	EAS
1000g	HG02059	KHV	EAS
1000g	HG02610	GWD	AFR
1000g	HG00881	CDX	EAS
1000g	HG02061	KHV	EAS
1000g	HG02615	GWD	AFR
1000g	HG00956	CDX	EAS
1000g	HG02073	KHV	EAS
1000g	HG02622	GWD	AFR
1000g	HG00982	CDX	EAS
1000g	HG02078	KHV	EAS
1000g	HG02634	GWD	AFR
1000g	HG01029	CDX	EAS
1000g	HG02179	CDX	EAS
1000g	HG02646	GWD	AFR
1000g	HG01031	CDX	EAS
1000g	HG02181	CDX	EAS
1000g	HG02557	ACB	AFR
1000g	HG01048	PUR	AMR
1000g	HG02186	CDX	EAS
1000g	HG02569	GWD	AFR
1000g	HG01050	PUR	AMR
1000g	HG02571	GWD	AFR
1000g	HG01055	PUR	AMR
1000g	HG02220	IBS	EUR
1000g	HG02583	GWD	AFR
1000g	HG01062	PUR	AMR
1000g	HG02080	KHV	EAS
1000g	HG02588	GWD	AFR
1000g	HG00704	CHS	EAS
1000g	HG02085	KHV	EAS
1000g	HG02590	GWD	AFR
1000g	HG00709	CHS	EAS
1000g	HG02105	PEL	AMR
1000g	HG02595	GWD	AFR
1000g	HG02129	KHV	EAS
1000g	HG02420	ACB	AFR
1000g	HG00728	CHS	EAS
1000g	HG02131	KHV	EAS
1000g	HG02425	PEL	AMR
1000g	HG02136	KHV	EAS
1000g	HG02449	ACB	AFR
1000g	HG00735	PUR	AMR
1000g	HG02225	IBS	EUR
1000g	HG02451	ACB	AFR
1000g	HG00742	PUR	AMR
1000g	HG02232	IBS	EUR
1000g	HG02463	GWD	AFR
1000g	HG00759	CDX	EAS
1000g	HG02237	IBS	EUR
1000g	HG02348	PEL	AMR
1000g	HG00766	CDX	EAS
1000g	HG02256	ACB	AFR
1000g	HG02355	CDX	EAS
1000g	HG00590	CHS	EAS
1000g	HG02275	PEL	AMR
1000g	HG02367	CDX	EAS
1000g	HG00595	CHS	EAS
1000g	HG02605	PJL	SAS
1000g	HG02374	CDX	EAS
1000g	HG00608	CHS	EAS
1000g	HG02612	GWD	AFR
1000g	HG02379	CDX	EAS
1000g	HG00610	CHS	EAS
1000g	HG02624	GWD	AFR
1000g	HG00615	CHS	EAS
1000g	HG02629	GWD	AFR
1000g	HG02653	PJL	SAS
1000g	HG00622	CHS	EAS
1000g	HG02636	GWD	AFR
1000g	HG02658	PJL	SAS
1000g	HG00627	CHS	EAS
1000g	HG02643	GWD	AFR
1000g	HG02660	PJL	SAS
1000g	HG00634	CHS	EAS
1000g	HG02648	PJL	SAS
1000g	HG02677	GWD	AFR
1000g	HG01170	PUR	AMR
1000g	HG02650	PJL	SAS
1000g	HG02684	PJL	SAS
1000g	HG01175	PUR	AMR
1000g	HG02655	PJL	SAS
1000g	HG02502	ACB	AFR
1000g	HG01182	PUR	AMR
1000g	HG02514	KHV	EAS
1000g	HG01187	PUR	AMR
1000g	HG02561	GWD	AFR
1000g	HG02521	KHV	EAS
1000g	HG01199	PUR	AMR
1000g	HG02573	GWD	AFR
1000g	HG02526	KHV	EAS
1000g	HG01252	CLM	AMR
1000g	HG02580	ACB	AFR
1000g	HG02545	ACB	AFR
1000g	HG01257	CLM	AMR
1000g	HG02585	GWD	AFR
1000g	HG02470	ACB	AFR
1000g	HG01067	PUR	AMR
1000g	HG02597	PJL	SAS
1000g	HG02494	PJL	SAS
1000g	HG01074	PUR	AMR
1000g	HG02600	PJL	SAS
1000g	HG02386	CDX	EAS
1000g	HG01079	PUR	AMR
1000g	HG02662	PJL	SAS
1000g	HG02398	CDX	EAS
1000g	HG01081	PUR	AMR
1000g	HG02667	GWD	AFR
1000g	HG02401	CDX	EAS
1000g	HG01086	PUR	AMR
1000g	HG02679	GWD	AFR
1000g	HG02406	CDX	EAS
1000g	HG01098	PUR	AMR
1000g	HG02681	PJL	SAS
1000g	HG02785	PJL	SAS
1000g	HG01101	PUR	AMR
1000g	HG02686	PJL	SAS
1000g	HG02792	PJL	SAS
1000g	HG01106	PUR	AMR
1000g	HG02800	GWD	AFR
1000g	HG01113	CLM	AMR
1000g	HG02427	ACB	AFR
1000g	HG02805	GWD	AFR
1000g	HG01125	CLM	AMR
1000g	HG02439	ACB	AFR
1000g	HG02812	GWD	AFR
1000g	HG01137	CLM	AMR
1000g	HG02465	GWD	AFR
1000g	HG02817	GWD	AFR
1000g	HG01149	CLM	AMR
1000g	HG02477	ACB	AFR
1000g	HG02735	PJL	SAS
1000g	HG01168	PUR	AMR
1000g	HG02484	ACB	AFR
1000g	HG02759	GWD	AFR
1000g	HG02489	ACB	AFR
