source	sample	population	superpopulation
1000g	NA18980	JPT	EAS
1000g	HG03114	ESN	AFR
1000g	NA19081	JPT	EAS
1000g	NA18985	JPT	EAS
1000g	HG03119	ESN	AFR
1000g	NA19086	JPT	EAS
1000g	NA18992	JPT	EAS
1000g	HG03378	MSL	AFR
1000g	NA19093	YRI	AFR
1000g	NA18997	JPT	EAS
1000g	HG03380	MSL	AFR
1000g	NA19098	YRI	AFR
1000g	NA19003	JPT	EAS
1000g	HG03385	MSL	AFR
1000g	NA12890	CEU	EUR
1000g	NA19010	JPT	EAS
1000g	HG03397	MSL	AFR
1000g	NA18487	YRI	AFR
1000g	NA19027	LWK	AFR
1000g	HG03063	MSL	AFR
1000g	NA18499	YRI	AFR
1000g	NA19041	LWK	AFR
1000g	HG03082	MSL	AFR
1000g	NA18502	YRI	AFR
1000g	NA19185	YRI	AFR
1000g	HG03486	MSL	AFR
1000g	NA18507	YRI	AFR
1000g	NA19197	YRI	AFR
1000g	NA18519	YRI	AFR
1000g	NA19200	YRI	AFR
1000g	NA18521	YRI	AFR
1000g	NA19205	YRI	AFR
1000g	HG03518	ESN	AFR
1000g	NA18526	CHB	EAS
1000g	NA19224	YRI	AFR
1000g	HG03520	ESN	AFR
