project	sample	alias	accession	center	platform	instrument	library	layout	description	fastq_se_md5	fastq_se_ftp	fastq_r1_md5	fastq_r2_md5	fastq_r1_ftp	fastq_r2_ftp	fastq_se	fastq_r1	fastq_r2
PRJEB16019	BIR-08	Whole Genome Sequences of Indian Individual	ERR1812158	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-08	PAIRED	Whole Genome Sequences of Indian Populations	83aaa48b0a5832183d42ac5332906e9b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1812158/ERR1812158.fastq.gz	ccd15e0070eabaea354fc919895f35cb	8d0212bacaa1b7a616c41f82c1bf59ee	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1812158/ERR1812158_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/008/ERR1812158/ERR1812158_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812158_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812158_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812158_r2.fastq.gz
PRJEB16019	BIR-11	Whole Genome Sequences of Indian Individual	ERR1812159	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-11	PAIRED	Whole Genome Sequences of Indian Populations	c3203599c80d566636d2ee77df746d27	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1812159/ERR1812159.fastq.gz	9e6c58131970173dab58df86b64d2777	49d126080bd80575228f1b84d0f0a815	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1812159/ERR1812159_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/009/ERR1812159/ERR1812159_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812159_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812159_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812159_r2.fastq.gz
PRJEB16019	BIR-12	Whole Genome Sequences of Indian Individual	ERR1812160	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-12	PAIRED	Whole Genome Sequences of Indian Populations	41f2ba94006f93a520f3c2035df995a1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1812160/ERR1812160.fastq.gz	228d37dcbe66122cb45e14a96c58fd5e	9537edea266634525748f5c4d377eef2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1812160/ERR1812160_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/000/ERR1812160/ERR1812160_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812160_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812160_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812160_r2.fastq.gz
PRJEB16019	BIR-13	Whole Genome Sequences of Indian Individual	ERR1812161	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-13	PAIRED	Whole Genome Sequences of Indian Populations	b5d3a3b29ad5553998d9cfc9fd296f30	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1812161/ERR1812161.fastq.gz	4709e9994441b1de61d7bed4f1867c22	ab8280f1f5ee7b9d7c09be3b9e5ec280	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1812161/ERR1812161_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/001/ERR1812161/ERR1812161_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812161_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812161_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812161_r2.fastq.gz
PRJEB16019	BIR-14	Whole Genome Sequences of Indian Individual	ERR1812162	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-14	PAIRED	Whole Genome Sequences of Indian Populations	026747f0f243350a1d63ab0e7dd65bf9	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1812162/ERR1812162.fastq.gz	b38f35227495ef682c8ae2a57e851088	b09daa85e75be19cb6b405f342408484	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1812162/ERR1812162_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/002/ERR1812162/ERR1812162_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812162_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812162_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812162_r2.fastq.gz
PRJEB16019	BIR-15	Whole Genome Sequences of Indian Individual	ERR1812163	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-15	PAIRED	Whole Genome Sequences of Indian Populations	41fa8ddb7dba526feecb7358cf7f68f0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1812163/ERR1812163.fastq.gz	48f38dc6851b5d6297ddb1da1169fadd	3c900a8b1029b8b1d00480dd38c7ae35	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1812163/ERR1812163_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/003/ERR1812163/ERR1812163_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812163_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812163_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812163_r2.fastq.gz
PRJEB16019	BIR-16	Whole Genome Sequences of Indian Individual	ERR1812164	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-16	PAIRED	Whole Genome Sequences of Indian Populations	eb93b998091617f80c52915c755987a1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1812164/ERR1812164.fastq.gz	6401c2526f320e5ee4efbb572a1736f5	a33e7abe6ca9a5f8df74114abbf0dd03	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1812164/ERR1812164_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/004/ERR1812164/ERR1812164_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812164_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812164_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812164_r2.fastq.gz
PRJEB16019	BIR-18	Whole Genome Sequences of Indian Individual	ERR1812165	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-18	PAIRED	Whole Genome Sequences of Indian Populations	3b0cc4c1a0418e7f226b85cfe2c4fe84	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1812165/ERR1812165.fastq.gz	6a3380ab15722b64079007e1605e99d5	02383ce77c65e1fc05ee83dec08ed688	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1812165/ERR1812165_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/005/ERR1812165/ERR1812165_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812165_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812165_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812165_r2.fastq.gz
PRJEB16019	BIR-22	Whole Genome Sequences of Indian Individual	ERR1812166	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BIR-22	PAIRED	Whole Genome Sequences of Indian Populations	8fc15760efd6a74be99932d476abe7d0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1812166/ERR1812166.fastq.gz	3b710a538e30839b62528b63e5366746	4fd3fcd3cb3f16f9818eb73ece96fa08	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1812166/ERR1812166_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/006/ERR1812166/ERR1812166_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812166_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812166_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812166_r2.fastq.gz
PRJEB16019	BR1-10	Whole Genome Sequences of Indian Individual	ERR1812167	Universitat Pompeu Fabra	ILLUMINA	Illumina HiSeq 2000	BR1-10	PAIRED	Whole Genome Sequences of Indian Populations	32480f38bc28f55ec3ac1d3f59e5380a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1812167/ERR1812167.fastq.gz	a699e91f350074a20bef7e8872be6bc0	0e1ee7cc8ee6d6705f4ee28a2018724e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1812167/ERR1812167_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR181/007/ERR1812167/ERR1812167_2.fastq.gz	data/source/PRJEB16019/fastq/ERR1812167_se.fastq.gz	data/source/PRJEB16019/fastq/ERR1812167_r1.fastq.gz	data/source/PRJEB16019/fastq/ERR1812167_r2.fastq.gz
